"nrep" "ndet" "site" "day" "year"
"1" 1 0 1 176 1995
"2" 1 0 1 157 2004
"3" 1 0 1 107 2006
"4" 1 0 1 175 2009
"5" 1 0 1 142 2009
"6" 1 0 1 176 2009
"7" 1 0 1 179 2009
"8" 1 0 1 181 2009
"9" 1 0 1 172 2009
"10" 1 0 1 137 2009
"11" 1 0 1 144 2009
"12" 1 0 1 136 2009
"13" 1 0 1 128 2005
"14" 1 0 1 127 2005
"15" 1 0 1 129 2006
"16" 1 0 1 122 2006
"17" 1 1 1 138 2008
"18" 1 0 1 156 2005
"19" 1 0 1 111 2003
"20" 1 0 1 137 2003
"21" 1 0 1 106 2003
"22" 1 0 1 145 2002
"23" 1 0 1 155 2003
"24" 1 0 1 126 2004
"25" 1 0 1 143 2004
"26" 1 0 1 117 2005
"27" 1 0 1 130 2007
"28" 1 0 1 141 2011
"29" 1 0 1 132 2004
"30" 1 0 1 118 2004
"31" 1 0 1 131 2004
"32" 1 0 1 121 2004
"33" 1 0 1 113 2004
"34" 1 0 1 117 2004
"35" 1 0 1 120 2004
"36" 1 0 1 169 2005
"37" 1 0 1 108 2008
"38" 1 0 1 154 2008
"39" 1 0 1 107 2008
"40" 1 0 1 110 2009
"41" 1 0 1 109 2009
"42" 1 0 1 114 2009
"43" 1 0 1 108 2009
"44" 1 0 1 105 2009
"45" 1 0 1 123 2008
"46" 1 0 1 165 1999
"47" 1 0 1 139 1999
"48" 1 0 1 138 1999
"49" 1 0 1 125 2000
"50" 1 0 1 143 2000
"51" 1 0 1 106 2000
"52" 1 0 1 159 1999
"53" 1 0 1 112 2000
"54" 1 0 1 116 2012
"55" 2 0 1 149 2010
"56" 1 0 1 152 2010
"57" 1 0 1 139 2010
"58" 1 0 1 144 2010
"59" 1 1 1 125 2008
"60" 1 0 1 115 2010
"61" 1 0 1 105 2002
"62" 1 0 1 119 2001
"63" 1 0 1 125 2002
"64" 1 0 1 135 1999
"65" 1 0 1 137 2001
"66" 1 0 1 147 2006
"67" 1 0 1 137 2002
"68" 1 0 1 115 1998
"69" 1 0 1 123 2003
"70" 1 0 1 135 2003
"71" 1 0 1 106 2002
"72" 1 0 1 120 2002
"73" 1 0 1 108 2002
"74" 1 0 1 110 2002
"75" 1 0 2 121 2006
"76" 1 0 2 125 2005
"77" 1 0 2 138 2004
"78" 1 1 2 130 2004
"79" 1 0 2 142 2011
"80" 1 1 2 120 2004
"81" 1 0 2 172 2003
"82" 1 0 2 158 2008
"83" 1 0 2 140 1999
"84" 1 0 2 114 1999
"85" 1 0 2 154 2009
"86" 1 0 2 136 2010
"87" 1 0 2 148 2010
"88" 1 0 2 116 2012
"89" 1 1 2 144 2012
"90" 1 0 2 137 2010
"91" 1 0 2 123 2003
"92" 1 0 3 130 2009
"93" 1 0 3 123 2008
"94" 1 0 3 151 2009
"95" 1 0 3 179 2008
"96" 1 0 3 155 2001
"97" 1 0 3 112 2001
"98" 1 0 3 145 2008
"99" 1 0 3 132 2001
"100" 1 0 3 111 2000
"101" 1 0 3 136 2001
"102" 1 0 3 155 2011
"103" 1 1 3 128 2011
"104" 1 0 3 174 2012
"105" 1 0 3 168 2012
"106" 1 0 3 154 2012
"107" 1 0 3 139 2012
"108" 1 0 3 142 2011
"109" 1 0 3 133 2012
"110" 1 0 3 154 2007
"111" 1 0 3 136 2010
"112" 1 0 3 156 1999
"113" 1 0 3 134 1999
"114" 1 0 3 120 2004
"115" 1 0 3 149 1999
"116" 1 0 3 142 2010
"117" 1 0 3 119 2012
"118" 1 0 3 115 2010
"119" 1 0 3 162 1999
"120" 1 0 3 177 1999
"121" 1 0 3 133 2007
"122" 1 0 3 162 2000
"123" 1 0 3 161 2000
"124" 1 0 3 173 2003
"125" 1 0 3 164 2010
"126" 1 0 3 159 2010
"127" 1 0 3 126 2000
"128" 1 0 3 140 2000
"129" 1 0 3 149 2003
"130" 1 0 3 180 2002
"131" 1 0 3 123 2003
"132" 1 0 3 123 2004
"133" 1 0 3 139 2004
"134" 1 0 3 114 1999
"135" 1 0 4 122 2004
"136" 1 0 4 170 2003
"137" 1 1 4 141 1999
"138" 1 0 4 117 2000
"139" 1 0 4 144 1999
"140" 1 0 4 133 1999
"141" 1 0 4 106 2011
"142" 1 0 4 115 2011
"143" 1 0 4 120 2011
"144" 1 0 5 105 2012
"145" 1 0 5 181 2012
"146" 1 0 5 110 2005
"147" 1 0 5 123 2007
"148" 1 0 5 135 1997
"149" 1 0 5 109 2005
"150" 1 0 5 111 2005
"151" 1 0 5 112 2005
"152" 1 0 5 114 2007
"153" 1 0 5 115 2007
"154" 1 0 5 116 2007
"155" 1 0 5 114 2006
"156" 1 0 5 115 2005
"157" 1 0 5 178 2006
"158" 1 0 5 134 2008
"159" 1 0 5 127 2003
"160" 1 0 5 129 2003
"161" 1 0 5 106 2003
"162" 1 0 5 118 2003
"163" 1 0 5 126 2003
"164" 1 0 5 133 2003
"165" 1 0 5 125 2003
"166" 1 0 5 130 2003
"167" 1 0 5 179 2003
"168" 1 0 5 130 2007
"169" 1 0 5 132 2007
"170" 1 0 5 150 2011
"171" 1 0 5 140 2012
"172" 1 1 5 126 2004
"173" 1 0 5 119 2004
"174" 1 0 5 108 2004
"175" 1 0 5 127 2004
"176" 1 0 5 128 2004
"177" 1 0 5 117 2004
"178" 1 0 5 137 2004
"179" 1 0 5 129 2004
"180" 1 0 5 144 2004
"181" 1 0 5 108 2008
"182" 1 0 5 159 2008
"183" 1 0 5 146 2008
"184" 1 0 5 119 2009
"185" 1 0 5 126 1997
"186" 1 0 5 105 1997
"187" 1 0 5 118 1997
"188" 1 0 5 113 1997
"189" 1 0 5 115 1999
"190" 1 0 5 164 2012
"191" 1 0 5 152 2011
"192" 1 0 5 161 2012
"193" 1 0 5 178 2011
"194" 1 0 5 153 2012
"195" 1 0 5 178 2012
"196" 1 0 5 160 2010
"197" 1 0 5 151 2010
"198" 1 0 5 147 2010
"199" 1 0 5 138 2010
"200" 1 0 5 106 2010
"201" 1 0 5 148 2010
"202" 1 0 5 127 2012
"203" 1 0 5 108 2012
"204" 1 0 5 124 2012
"205" 1 0 5 133 2012
"206" 1 0 5 131 2012
"207" 1 0 5 118 2012
"208" 2 0 5 115 2012
"209" 1 0 5 168 2012
"210" 1 0 5 158 2012
"211" 1 0 5 117 2012
"212" 1 0 5 148 2012
"213" 1 0 5 105 2010
"214" 1 0 5 166 2010
"215" 1 0 5 155 2000
"216" 1 0 5 105 2002
"217" 1 0 5 106 2002
"218" 1 0 5 129 2002
"219" 1 0 5 134 2002
"220" 1 0 5 128 2002
"221" 1 0 5 107 2002
"222" 1 0 5 115 2002
"223" 1 0 5 113 2002
"224" 1 0 5 126 2002
"225" 1 0 5 116 2001
"226" 1 0 5 116 2002
"227" 1 0 5 115 2006
"228" 1 0 5 126 1999
"229" 1 0 5 123 1999
"230" 1 0 5 137 2001
"231" 1 0 5 134 2001
"232" 1 0 5 135 2001
"233" 1 0 6 149 2004
"234" 1 0 6 105 2003
"235" 1 0 6 114 2003
"236" 1 0 6 150 2004
"237" 1 0 6 121 2004
"238" 1 0 6 122 2004
"239" 1 0 6 121 2011
"240" 1 1 6 133 1999
"241" 1 0 6 136 1999
"242" 1 0 6 123 1999
"243" 1 0 6 134 1999
"244" 1 0 6 124 1999
"245" 1 0 6 150 1999
"246" 1 0 6 127 1999
"247" 1 0 6 140 1999
"248" 1 0 6 173 1999
"249" 1 0 6 125 1999
"250" 1 0 6 107 1999
"251" 1 0 6 156 1999
"252" 1 0 6 170 1999
"253" 1 0 6 162 2000
"254" 1 0 6 173 2000
"255" 1 0 6 176 1999
"256" 1 0 6 120 2000
"257" 1 0 6 168 2000
"258" 1 0 6 136 2000
"259" 1 0 6 158 2000
"260" 1 0 6 142 2000
"261" 1 0 6 139 2001
"262" 1 0 6 135 2001
"263" 1 0 6 122 2000
"264" 1 0 6 161 2001
"265" 1 0 6 132 2001
"266" 1 0 6 134 2000
"267" 1 0 6 111 2001
"268" 1 0 6 114 2001
"269" 1 0 6 157 2001
"270" 1 0 6 115 2001
"271" 1 0 6 126 2001
"272" 1 0 6 124 2000
"273" 1 0 6 141 2001
"274" 1 0 6 139 2000
"275" 1 0 6 129 2000
"276" 1 0 6 146 2002
"277" 1 0 6 174 2001
"278" 1 0 6 148 2003
"279" 1 0 6 150 2003
"280" 1 0 7 125 2012
"281" 1 0 7 124 2012
"282" 1 0 7 116 2007
"283" 1 0 7 170 2005
"284" 1 1 7 171 2005
"285" 1 0 7 115 2007
"286" 1 0 7 122 1998
"287" 1 0 7 138 2006
"288" 1 0 7 141 2006
"289" 1 1 7 113 2006
"290" 1 0 7 127 2006
"291" 1 1 7 151 2005
"292" 1 1 7 124 2005
"293" 1 1 7 134 2005
"294" 1 0 7 108 2005
"295" 1 0 7 137 2007
"296" 1 0 7 130 2008
"297" 1 0 7 107 2003
"298" 1 1 7 133 2003
"299" 1 1 7 140 2003
"300" 1 0 7 166 2003
"301" 1 0 7 162 2003
"302" 1 0 7 180 2004
"303" 1 0 7 177 2004
"304" 1 0 7 181 2004
"305" 1 0 7 139 2004
"306" 1 0 7 147 2007
"307" 1 0 7 106 2005
"308" 1 0 7 107 2005
"309" 1 0 7 114 2005
"310" 1 0 7 140 2012
"311" 1 0 7 135 2011
"312" 1 0 7 114 2011
"313" 1 0 7 138 2004
"314" 1 0 7 110 2004
"315" 3 3 7 123 2004
"316" 1 0 7 115 2004
"317" 1 1 7 121 2004
"318" 2 2 7 124 2004
"319" 1 0 7 125 2004
"320" 2 2 7 118 2004
"321" 1 0 7 122 2004
"322" 1 1 7 119 2004
"323" 1 1 7 131 2004
"324" 1 0 7 116 2004
"325" 1 1 7 132 2004
"326" 1 0 7 130 2004
"327" 1 0 7 108 2008
"328" 1 0 7 107 2008
"329" 1 0 7 118 2008
"330" 1 0 7 108 2007
"331" 1 0 7 110 2008
"332" 1 0 7 111 2008
"333" 1 0 7 154 2008
"334" 1 0 7 109 2009
"335" 1 0 7 119 2011
"336" 1 0 7 172 2010
"337" 1 0 7 176 2008
"338" 1 0 7 168 2008
"339" 3 0 7 130 1997
"340" 1 0 7 157 1999
"341" 1 0 7 131 1999
"342" 1 0 7 176 1999
"343" 1 0 7 163 1999
"344" 1 0 7 180 1999
"345" 1 0 7 168 1999
"346" 1 0 7 177 1999
"347" 2 0 7 116 1999
"348" 1 0 7 158 1999
"349" 1 0 7 155 1999
"350" 1 0 7 119 1999
"351" 1 1 7 138 1999
"352" 1 0 7 153 1999
"353" 1 0 7 117 1999
"354" 1 0 7 126 1999
"355" 1 1 7 181 1999
"356" 1 0 7 166 1999
"357" 2 0 7 172 2000
"358" 1 0 7 121 2000
"359" 1 0 7 105 2001
"360" 1 0 7 123 2000
"361" 1 0 7 106 2000
"362" 1 0 7 137 2000
"363" 1 0 7 125 2000
"364" 1 0 7 105 2000
"365" 1 0 7 118 2000
"366" 1 0 7 147 2010
"367" 2 0 7 140 2010
"368" 1 0 7 118 2012
"369" 1 0 7 123 2012
"370" 1 0 7 115 2012
"371" 1 0 7 109 2012
"372" 1 0 7 116 2012
"373" 1 0 7 117 2012
"374" 1 0 7 150 2010
"375" 1 0 7 117 2010
"376" 1 0 7 136 2010
"377" 1 0 7 137 2010
"378" 1 0 7 117 2008
"379" 1 0 7 124 2008
"380" 1 0 7 122 2010
"381" 1 0 7 127 2010
"382" 1 0 7 131 2010
"383" 1 0 7 124 2010
"384" 1 0 7 123 2010
"385" 1 0 7 119 2010
"386" 1 0 7 114 2001
"387" 2 0 7 165 2000
"388" 1 0 7 124 2001
"389" 2 1 7 137 2002
"390" 1 0 7 168 2001
"391" 3 3 7 132 2002
"392" 3 3 7 127 2002
"393" 2 2 7 129 2002
"394" 1 1 7 106 2002
"395" 1 1 7 107 2002
"396" 2 1 7 111 2002
"397" 1 0 7 108 2001
"398" 2 0 7 114 2002
"399" 1 0 7 113 2002
"400" 2 1 7 160 2002
"401" 1 1 7 118 2002
"402" 1 0 7 181 2002
"403" 1 0 7 167 2002
"404" 1 0 7 174 2002
"405" 2 2 7 117 2002
"406" 1 1 7 122 2002
"407" 1 0 7 134 2001
"408" 1 0 7 177 2007
"409" 1 0 7 161 2006
"410" 1 0 7 178 2006
"411" 1 0 7 105 2003
"412" 1 0 7 125 1999
"413" 1 1 7 115 2002
"414" 1 1 7 126 2002
"415" 1 1 7 130 2002
"416" 1 1 7 116 2002
"417" 1 1 7 145 2002
"418" 1 1 7 124 2002
"419" 1 0 7 152 2003
"420" 1 1 7 123 2002
"421" 1 0 7 111 1998
"422" 1 1 7 159 1998
"423" 1 1 7 122 2003
"424" 1 0 7 131 2003
"425" 1 0 8 124 2005
"426" 1 0 8 131 2007
"427" 1 1 8 116 2012
"428" 1 0 8 158 2010
"429" 1 0 8 131 2001
"430" 2 0 8 124 2002
"431" 1 0 8 114 2002
"432" 1 0 8 123 2002
"433" 1 0 8 127 2002
"434" 1 0 8 129 2002
"435" 1 0 8 105 2003
"436" 1 0 9 137 2009
"437" 1 0 9 135 2008
"438" 1 0 9 140 2007
"439" 1 0 9 153 2008
"440" 1 0 9 144 2008
"441" 1 0 9 124 2011
"442" 1 0 9 156 1999
"443" 1 0 9 121 2000
"444" 1 1 9 120 2010
"445" 1 1 9 113 2009
"446" 1 0 9 126 2002
"447" 1 1 9 135 2002
"448" 1 0 10 116 2012
"449" 1 0 10 111 2007
"450" 1 0 10 179 2007
"451" 1 1 10 141 2008
"452" 1 0 10 106 2005
"453" 3 0 10 132 2002
"454" 1 0 10 166 2003
"455" 1 0 10 105 2003
"456" 1 0 10 126 2004
"457" 1 0 10 114 2005
"458" 1 0 10 131 2007
"459" 1 0 10 123 2004
"460" 1 0 10 176 2004
